id,"category","action_name","rule_consequent","description"
1,"LIGHT","LIGHT_ON","turn on the light","turn on the light"
2,"LIGHT","LIGHT_OFF","turn off the light","turn off the light"
3,"HEATING","HEATING_ON","turn on the heating","turn on the heating"
4,"HEATING","HEATING_OFF","turn off the heating","turn off the heating"
5,"COOLING","COOLING_ON","turn on the cooling","turn off the cooling"
6,"COOLING","COOLING_OFF","turn off the cooling","turn off the cooling"
7,"WINDOWS","WINDOWS_OPEN","open the windows","open the windows"
8,"WINDOWS","WINDOWS_CLOSE","close the windows","close the windows"
9,"CURTAINS","CURTAINS_OPEN","open the curtains","open the curtains"
10,"CURTAINS","CURTAINS_CLOSE","close the curtains","close the curtains"
