totalValidRules;284
totalInvalidRules;18
totalValidRuleSet;72
turn on the room light;35
turn off the coffee machine;11
turn on the coffee machine;22
close the windows;11
turn off the air conditioning;5
turn on the air conditioning;5
close the curtains;16
turn off the microwave;5
turn off the heating;37
open the curtains;21
turn on the heating;35
open the windows;11
turn off the room light;65
turn on the microwave;4
totalInvalidRuleSet;1
time is between;42
it is sunny;36
room temperature is between;46
nobody is in the room;80
it is rainy;13
someone is in the room;61
the day is between;13
